université,code_filiere,bac_type,year,score_min,page,filiere_name,score_prev_year
Universite de Tunis,10104,Lettres,2024,89.8317,7,Licence Espagnol,85.2635
Universite de Tunis,10104,Lettres,2025,78.3633,7,Licence Espagnol,89.8317
Universite de Tunis,10104,Mathematiques,2024,127.5066,7,Licence Espagnol,
Universite de Tunis,10104,Mathematiques,2025,102.2235,7,Licence Espagnol,127.5066
Universite de Tunis,10104,Sciences,2023,126.795,7,Licence Espagnol,
Universite de Tunis,10104,Sciences,2024,129.9569,7,Licence Espagnol,126.795
Universite de Tunis,10104,Sciences,2025,128.4428,7,Licence Espagnol,129.9569
Universite de Tunis,10104,Technique,2025,116.77,7,Licence Espagnol,
Universite de Tunis,10105,Economie,2023,104.7012,7,Licence Italien,
Universite de Tunis,10105,Economie,2024,90.9769,7,Licence Italien,104.7012
Universite de Tunis,10105,Economie,2025,88.6479,7,Licence Italien,90.9769
Universite de Tunis,10105,Informatique,2023,123.8525,7,Licence Italien,
Universite de Tunis,10105,Informatique,2024,124.853,7,Licence Italien,123.8525
Universite de Tunis,10105,Informatique,2025,107.7,7,Licence Italien,124.853
Universite de Tunis,10105,Lettres,2023,93.7267,7,Licence Italien,
Universite de Tunis,10105,Lettres,2024,100.0434,7,Licence Italien,93.7267
Universite de Tunis,10105,Lettres,2025,98.8912,7,Licence Italien,100.0434
Universite de Tunis,10105,Sciences,2023,121.485,7,Licence Italien,
Universite de Tunis,10105,Sciences,2024,134.2957,7,Licence Italien,121.485
Universite de Tunis,10105,Sciences,2025,112.065,7,Licence Italien,134.2957
Universite de Tunis,10105,Technique,2023,103.2319,7,Licence Italien,
Universite de Tunis,10105,Technique,2024,94.775,7,Licence Italien,103.2319
Universite de Tunis,10105,Technique,2025,142.3796,7,Licence Italien,94.775
Universite de Tunis,10106,Economie,2023,85.1317,7,Licence Allemand,
Universite de Tunis,10106,Economie,2024,101.2454,7,Licence Allemand,85.1317
Universite de Tunis,10106,Economie,2025,89.9689,7,Licence Allemand,101.2454
Universite de Tunis,10106,Informatique,2023,124.0826,7,Licence Allemand,
Universite de Tunis,10106,Informatique,2024,101.0563,7,Licence Allemand,124.0826
Universite de Tunis,10106,Informatique,2025,97.9639,7,Licence Allemand,101.0563
Universite de Tunis,10106,Lettres,2023,88.6886,7,Licence Allemand,
Universite de Tunis,10106,Lettres,2024,93.0132,7,Licence Allemand,88.6886
Universite de Tunis,10106,Lettres,2025,88.2051,7,Licence Allemand,93.0132
Universite de Tunis,10106,Mathematiques,2023,105.6484,7,Licence Allemand,
Universite de Tunis,10106,Mathematiques,2024,157.8999,7,Licence Allemand,105.6484
Universite de Tunis,10106,Mathematiques,2025,123.2462,7,Licence Allemand,157.8999
Universite de Tunis,10106,Sciences,2023,142.3849,7,Licence Allemand,
Universite de Tunis,10106,Sciences,2024,129.882,7,Licence Allemand,142.3849
Universite de Tunis,10106,Sciences,2025,139.5441,7,Licence Allemand,129.882
Universite de Tunis,10106,Technique,2023,103.1692,7,Licence Allemand,
Universite de Tunis,10106,Technique,2024,106.8021,7,Licence Allemand,103.1692
Universite de Tunis,10106,Technique,2025,108.7268,7,Licence Allemand,106.8021
Universite de Tunis,10107,Economie,2023,77.1295,24,Code_10107,
Universite de Tunis,10107,Economie,2024,74.6244,24,Code_10107,77.1295
Universite de Tunis,10107,Economie,2025,80.5277,24,Code_10107,74.6244
Universite de Tunis,10107,Informatique,2023,113.6183,24,Code_10107,
Universite de Tunis,10107,Informatique,2024,116.4067,24,Code_10107,113.6183
Universite de Tunis,10107,Lettres,2023,84.6632,24,Code_10107,
Universite de Tunis,10107,Lettres,2024,76.9383,24,Code_10107,84.6632
Universite de Tunis,10107,Lettres,2025,80.9145,24,Code_10107,76.9383
Universite de Tunis,10107,Mathematiques,2024,134.7517,24,Code_10107,
Universite de Tunis,10107,Mathematiques,2025,111.52,24,Code_10107,134.7517
Universite de Tunis,10107,Sciences,2023,108.8456,24,Code_10107,
Universite de Tunis,10107,Sciences,2024,117.4583,24,Code_10107,108.8456
Universite de Tunis,10107,Sciences,2025,116.415,24,Code_10107,117.4583
Universite de Tunis,10107,Sport,2023,111.1,24,Code_10107,
Universite de Tunis,10107,Sport,2025,144.28,24,Code_10107,111.1
Universite de Tunis,10107,Technique,2023,99.3339,24,Code_10107,
Universite de Tunis,10107,Technique,2024,103.9764,24,Code_10107,99.3339
Universite de Tunis,10107,Technique,2025,96.7288,24,Code_10107,103.9764
Universite de Tunis,10108,Economie,2023,85.165,25,Code_10108,
Universite de Tunis,10108,Economie,2024,82.5579,25,Code_10108,85.165
Universite de Tunis,10108,Economie,2025,74.8498,25,Code_10108,82.5579
Universite de Tunis,10108,Informatique,2023,104.8967,25,Code_10108,
Universite de Tunis,10108,Informatique,2024,83.0989,25,Code_10108,104.8967
Universite de Tunis,10108,Lettres,2023,94.6117,25,Code_10108,
Universite de Tunis,10108,Lettres,2024,75.5052,25,Code_10108,94.6117
Universite de Tunis,10108,Lettres,2025,84.3057,25,Code_10108,75.5052
Universite de Tunis,10108,Mathematiques,2025,125.4933,25,Code_10108,
Universite de Tunis,10108,Sciences,2023,118.5467,25,Code_10108,
Universite de Tunis,10108,Sciences,2024,114.9627,25,Code_10108,118.5467
Universite de Tunis,10108,Sciences,2025,133.53,25,Code_10108,114.9627
Universite de Tunis,10108,Sport,2023,112.015,25,Code_10108,
Universite de Tunis,10108,Sport,2024,98.225,25,Code_10108,112.015
Universite de Tunis,10108,Technique,2023,114.4733,25,Code_10108,
Universite de Tunis,10108,Technique,2024,101.44,25,Code_10108,114.4733
Universite de Tunis,10108,Technique,2025,109.365,25,Code_10108,101.44
Universite de Tunis,10118,Economie,2023,85.8623,16,Code_10118,
Universite de Tunis,10118,Economie,2024,83.7989,16,Code_10118,85.8623
Universite de Tunis,10118,Economie,2025,75.724,16,Code_10118,83.7989
Universite de Tunis,10118,Informatique,2023,104.0807,16,Code_10118,
Universite de Tunis,10118,Informatique,2024,135.7937,16,Code_10118,104.0807
Universite de Tunis,10118,Informatique,2025,112.227,16,Code_10118,135.7937
Universite de Tunis,10118,Lettres,2023,102.3225,16,Code_10118,
Universite de Tunis,10118,Lettres,2024,104.0199,16,Code_10118,102.3225
Universite de Tunis,10118,Lettres,2025,103.2372,16,Code_10118,104.0199
Universite de Tunis,10118,Mathematiques,2023,106.3135,16,Code_10118,
Universite de Tunis,10118,Mathematiques,2024,94.8092,16,Code_10118,106.3135
Universite de Tunis,10118,Mathematiques,2025,153.4594,16,Code_10118,94.8092
Universite de Tunis,10118,Sciences,2023,98.0941,16,Code_10118,
Universite de Tunis,10118,Sciences,2024,129.775,16,Code_10118,98.0941
Universite de Tunis,10118,Sciences,2025,130.3688,16,Code_10118,129.775
Universite de Tunis,10118,Sport,2023,146.325,16,Code_10118,
Universite de Tunis,10118,Sport,2024,116.6728,16,Code_10118,146.325
Universite de Tunis,10118,Sport,2025,174.8755,16,Code_10118,116.6728
Universite de Tunis,10118,Technique,2023,83.8734,16,Code_10118,
Universite de Tunis,10118,Technique,2024,131.5351,16,Code_10118,83.8734
Universite de Tunis,10118,Technique,2025,111.7508,16,Code_10118,131.5351
Universite de Tunis,10119,Economie,2023,81.1934,16,Code_10119,
Universite de Tunis,10119,Economie,2024,84.49,16,Code_10119,81.1934
Universite de Tunis,10119,Economie,2025,92.1566,16,Code_10119,84.49
Universite de Tunis,10119,Informatique,2024,138.555,16,Code_10119,
Universite de Tunis,10119,Lettres,2023,103.41,16,Code_10119,
Universite de Tunis,10119,Lettres,2024,103.31,16,Code_10119,103.41
Universite de Tunis,10119,Lettres,2025,102.54,16,Code_10119,103.31
Universite de Tunis,10119,Mathematiques,2023,96.14,16,Code_10119,
Universite de Tunis,10119,Mathematiques,2025,108.9466,16,Code_10119,96.14
Universite de Tunis,10119,Sciences,2023,94.0918,16,Code_10119,
Universite de Tunis,10119,Sciences,2024,96.6065,16,Code_10119,94.0918
Universite de Tunis,10119,Sciences,2025,95.7934,16,Code_10119,96.6065
Universite de Tunis,10119,Sport,2023,104.57,16,Code_10119,
Universite de Tunis,10119,Sport,2024,139.895,16,Code_10119,104.57
Universite de Tunis,10119,Sport,2025,142.785,16,Code_10119,139.895
Universite de Tunis,10119,Technique,2023,95.6248,16,Code_10119,
Universite de Tunis,10119,Technique,2024,113.11,16,Code_10119,95.6248
Universite de Tunis,10119,Technique,2025,100.25,16,Code_10119,113.11
Universite de Tunis,10120,Economie,2023,86.0208,1,Licence Sociologie,
Universite de Tunis,10120,Economie,2024,83.1356,1,Licence Sociologie,86.0208
Universite de Tunis,10120,Economie,2025,89.5082,1,Licence Sociologie,83.1356
Universite de Tunis,10120,Informatique,2024,113.5377,1,Licence Sociologie,
Universite de Tunis,10120,Informatique,2025,105.6625,1,Licence Sociologie,113.5377
Universite de Tunis,10120,Lettres,2023,109.8569,1,Licence Sociologie,
Universite de Tunis,10120,Lettres,2024,109.6857,1,Licence Sociologie,109.8569
Universite de Tunis,10120,Lettres,2025,109.5627,1,Licence Sociologie,109.6857
Universite de Tunis,10120,Mathematiques,2023,107.4029,1,Licence Sociologie,
Universite de Tunis,10120,Mathematiques,2024,121.3701,1,Licence Sociologie,107.4029
Universite de Tunis,10120,Mathematiques,2025,128.3947,1,Licence Sociologie,121.3701
Universite de Tunis,10120,Sciences,2023,98.9185,1,Licence Sociologie,
Universite de Tunis,10120,Sciences,2024,117.2453,1,Licence Sociologie,98.9185
Universite de Tunis,10120,Sciences,2025,121.665,1,Licence Sociologie,117.2453
Universite de Tunis,10120,Technique,2023,125.6501,1,Licence Sociologie,
Universite de Tunis,10120,Technique,2024,121.72,1,Licence Sociologie,125.6501
Universite de Tunis,10120,Technique,2025,131.5244,1,Licence Sociologie,121.72
Universite de Tunis,10121,Economie,2023,122.28,1,Licence Psychologie,
Universite de Tunis,10121,Economie,2024,142.305,1,Licence Psychologie,122.28
Universite de Tunis,10121,Economie,2025,130.81,1,Licence Psychologie,142.305
Universite de Tunis,10121,Informatique,2023,130.54,1,Licence Psychologie,
Universite de Tunis,10121,Informatique,2024,108.49,1,Licence Psychologie,130.54
Universite de Tunis,10121,Informatique,2025,151.995,1,Licence Psychologie,108.49
Universite de Tunis,10121,Lettres,2023,123.985,1,Licence Psychologie,
Universite de Tunis,10121,Lettres,2024,131.195,1,Licence Psychologie,123.985
Universite de Tunis,10121,Lettres,2025,130.475,1,Licence Psychologie,131.195
Universite de Tunis,10121,Mathematiques,2023,159.315,1,Licence Psychologie,
Universite de Tunis,10121,Mathematiques,2024,152.645,1,Licence Psychologie,159.315
Universite de Tunis,10121,Mathematiques,2025,150.845,1,Licence Psychologie,152.645
Universite de Tunis,10121,Sciences,2023,127.165,1,Licence Psychologie,
Universite de Tunis,10121,Sciences,2024,123.795,1,Licence Psychologie,127.165
Universite de Tunis,10121,Sciences,2025,127.5,1,Licence Psychologie,123.795
Universite de Tunis,10121,Sport,2023,187.575,1,Licence Psychologie,
Universite de Tunis,10121,Sport,2024,174.87,1,Licence Psychologie,187.575
Universite de Tunis,10121,Sport,2025,172.835,1,Licence Psychologie,174.87
Universite de Tunis,10121,Technique,2023,126.165,1,Licence Psychologie,
Universite de Tunis,10121,Technique,2024,138.42,1,Licence Psychologie,126.165
Universite de Tunis,10121,Technique,2025,139.025,1,Licence Psychologie,138.42
Universite de Tunis,10122,Economie,2023,81.4523,1,Licence Philosophie,
Universite de Tunis,10122,Economie,2024,116.6675,1,Licence Philosophie,81.4523
Universite de Tunis,10122,Economie,2025,92.9472,1,Licence Philosophie,116.6675
Universite de Tunis,10122,Informatique,2023,127.5708,1,Licence Philosophie,
Universite de Tunis,10122,Informatique,2025,120.14,1,Licence Philosophie,127.5708
Universite de Tunis,10122,Lettres,2023,95.3584,1,Licence Philosophie,
Universite de Tunis,10122,Lettres,2024,102.7735,1,Licence Philosophie,95.3584
Universite de Tunis,10122,Lettres,2025,98.6599,1,Licence Philosophie,102.7735
Universite de Tunis,10122,Mathematiques,2025,134.18,1,Licence Philosophie,
Universite de Tunis,10122,Sciences,2023,94.6684,1,Licence Philosophie,
Universite de Tunis,10122,Sciences,2024,113.0509,1,Licence Philosophie,94.6684
Universite de Tunis,10122,Sciences,2025,94.415,1,Licence Philosophie,113.0509
Universite de Tunis,10122,Sport,2023,114.95,1,Licence Philosophie,
Universite de Tunis,10122,Sport,2024,114.4633,1,Licence Philosophie,114.95
Universite de Tunis,10122,Sport,2025,101.93,1,Licence Philosophie,114.4633
Universite de Tunis,10122,Technique,2023,88.1395,1,Licence Philosophie,
Universite de Tunis,10122,Technique,2024,106.8016,1,Licence Philosophie,88.1395
Universite de Tunis,10122,Technique,2025,101.8052,1,Licence Philosophie,106.8016
Universite de Tunis,10123,Economie,2023,78.9466,2,Licence Histoire,
Universite de Tunis,10123,Economie,2024,80.8632,2,Licence Histoire,78.9466
Universite de Tunis,10123,Economie,2025,92.7851,2,Licence Histoire,80.8632
Universite de Tunis,10123,Informatique,2023,112.4891,2,Licence Histoire,
Universite de Tunis,10123,Lettres,2023,88.17,2,Licence Histoire,
Universite de Tunis,10123,Lettres,2024,86.5966,2,Licence Histoire,88.17
Universite de Tunis,10123,Lettres,2025,85.2935,2,Licence Histoire,86.5966
Universite de Tunis,10123,Sciences,2023,110.0656,2,Licence Histoire,
Universite de Tunis,10123,Sciences,2024,106.7771,2,Licence Histoire,110.0656
Universite de Tunis,10123,Sciences,2025,86.1208,2,Licence Histoire,106.7771
Universite de Tunis,10123,Technique,2023,105.19,2,Licence Histoire,
Universite de Tunis,10123,Technique,2024,111.775,2,Licence Histoire,105.19
Universite de Tunis,10123,Technique,2025,103.23,2,Licence Histoire,111.775
Universite de Tunis,10124,Economie,2023,79.5224,2,Licence Geographie,
Universite de Tunis,10124,Economie,2024,78.1467,2,Licence Geographie,79.5224
Universite de Tunis,10124,Economie,2025,80.1664,2,Licence Geographie,78.1467
Universite de Tunis,10124,Lettres,2023,91.9367,2,Licence Geographie,
Universite de Tunis,10124,Lettres,2024,86.0686,2,Licence Geographie,91.9367
Universite de Tunis,10124,Lettres,2025,88.6199,2,Licence Geographie,86.0686
Universite de Tunis,10124,Sciences,2023,103.7686,2,Licence Geographie,
Universite de Tunis,10124,Sciences,2024,102.4134,2,Licence Geographie,103.7686
Universite de Tunis,10124,Sciences,2025,123.1035,2,Licence Geographie,102.4134
Universite de Tunis,10124,Technique,2023,88.6565,2,Licence Geographie,
Universite de Tunis,10124,Technique,2024,92.29,2,Licence Geographie,88.6565
Universite de Tunis,10124,Technique,2025,77.9401,2,Licence Geographie,92.29
Universite de Tunis,10138,Economie,2023,102.3783,32,Code_10138,
Universite de Tunis,10138,Economie,2024,106.3366,32,Code_10138,102.3783
Universite de Tunis,10138,Economie,2025,84.8278,32,Code_10138,106.3366
Universite de Tunis,10138,Informatique,2023,96.12,32,Code_10138,
Universite de Tunis,10138,Informatique,2024,113.7678,32,Code_10138,96.12
Universite de Tunis,10138,Informatique,2025,102.037,32,Code_10138,113.7678
Universite de Tunis,10138,Lettres,2023,101.2809,32,Code_10138,
Universite de Tunis,10138,Lettres,2024,100.6115,32,Code_10138,101.2809
Universite de Tunis,10138,Lettres,2025,95.7501,32,Code_10138,100.6115
Universite de Tunis,10138,Mathematiques,2023,124.8048,32,Code_10138,
Universite de Tunis,10138,Mathematiques,2024,115.0678,32,Code_10138,124.8048
Universite de Tunis,10138,Mathematiques,2025,113.832,32,Code_10138,115.0678
Universite de Tunis,10138,Sciences,2023,132.1878,32,Code_10138,
Universite de Tunis,10138,Sciences,2024,107.2532,32,Code_10138,132.1878
Universite de Tunis,10138,Sciences,2025,145.0064,32,Code_10138,107.2532
Universite de Tunis,10138,Sport,2023,102.94,32,Code_10138,
Universite de Tunis,10138,Technique,2023,117.7803,32,Code_10138,
Universite de Tunis,10138,Technique,2024,108.3786,32,Code_10138,117.7803
Universite de Tunis,10138,Technique,2025,124.06,32,Code_10138,108.3786
Universite de Tunis,10139,Economie,2023,94.5336,32,Code_10139,
Universite de Tunis,10139,Economie,2024,104.215,32,Code_10139,94.5336
Universite de Tunis,10139,Economie,2025,96.81,32,Code_10139,104.215
Universite de Tunis,10139,Informatique,2023,101.165,32,Code_10139,
Universite de Tunis,10139,Informatique,2024,98.2669,32,Code_10139,101.165
Universite de Tunis,10139,Informatique,2025,96.8166,32,Code_10139,98.2669
Universite de Tunis,10139,Lettres,2023,95.3915,32,Code_10139,
Universite de Tunis,10139,Lettres,2024,96.5452,32,Code_10139,95.3915
Universite de Tunis,10139,Lettres,2025,91.8935,32,Code_10139,96.5452
Universite de Tunis,10139,Mathematiques,2024,114.535,32,Code_10139,
Universite de Tunis,10139,Mathematiques,2025,107.425,32,Code_10139,114.535
Universite de Tunis,10139,Sciences,2023,118.58,32,Code_10139,
Universite de Tunis,10139,Sciences,2024,147.185,32,Code_10139,118.58
Universite de Tunis,10139,Sciences,2025,107.5169,32,Code_10139,147.185
Universite de Tunis,10139,Sport,2023,151.015,32,Code_10139,
Universite de Tunis,10139,Sport,2024,95.5015,32,Code_10139,151.015
Universite de Tunis,10139,Sport,2025,89.995,32,Code_10139,95.5015
Universite de Tunis,10139,Technique,2023,105.4318,32,Code_10139,
Universite de Tunis,10139,Technique,2024,111.435,32,Code_10139,105.4318
Universite de Tunis,10139,Technique,2025,97.6882,32,Code_10139,111.435
Universite de Tunis,10158,Informatique,2023,101.965,7,Licence Geomatique Environnement,
Universite de Tunis,10158,Informatique,2024,97.575,7,Licence Geomatique Environnement,101.965
Universite de Tunis,10158,Informatique,2025,94.1999,7,Licence Geomatique Environnement,97.575
Universite de Tunis,10158,Mathematiques,2024,102.3751,7,Licence Geomatique Environnement,
Universite de Tunis,10158,Mathematiques,2025,100.775,7,Licence Geomatique Environnement,102.3751
Universite de Tunis,10158,Sciences,2023,77.4917,7,Licence Geomatique Environnement,
Universite de Tunis,10158,Sciences,2024,88.4133,7,Licence Geomatique Environnement,77.4917
Universite de Tunis,10158,Sciences,2025,78.6833,7,Licence Geomatique Environnement,88.4133
Universite de Tunis,10158,Technique,2023,76.4053,7,Licence Geomatique Environnement,
Universite de Tunis,10158,Technique,2024,82.7852,7,Licence Geomatique Environnement,76.4053
Universite de Tunis,10158,Technique,2025,77.7951,7,Licence Geomatique Environnement,82.7852
Universite de Tunis,10160,Economie,2023,93.1552,7,Licence Geopolitique Relations Internationales,
Universite de Tunis,10160,Economie,2024,98.8233,7,Licence Geopolitique Relations Internationales,93.1552
Universite de Tunis,10160,Economie,2025,78.8162,7,Licence Geopolitique Relations Internationales,98.8233
Universite de Tunis,10160,Informatique,2023,126.7,7,Licence Geopolitique Relations Internationales,
Universite de Tunis,10160,Informatique,2024,114.3783,7,Licence Geopolitique Relations Internationales,126.7
Universite de Tunis,10160,Informatique,2025,117.31,7,Licence Geopolitique Relations Internationales,114.3783
Universite de Tunis,10160,Lettres,2023,138.2083,7,Licence Geopolitique Relations Internationales,
Universite de Tunis,10160,Lettres,2024,147.29,7,Licence Geopolitique Relations Internationales,138.2083
Universite de Tunis,10160,Lettres,2025,141.1567,7,Licence Geopolitique Relations Internationales,147.29
Universite de Tunis,10160,Mathematiques,2023,127.31,7,Licence Geopolitique Relations Internationales,
Universite de Tunis,10160,Mathematiques,2024,117.475,7,Licence Geopolitique Relations Internationales,127.31
Universite de Tunis,10160,Mathematiques,2025,118.64,7,Licence Geopolitique Relations Internationales,117.475
Universite de Tunis,10160,Sciences,2023,120.055,7,Licence Geopolitique Relations Internationales,
Universite de Tunis,10160,Sciences,2024,122.325,7,Licence Geopolitique Relations Internationales,120.055
Universite de Tunis,10160,Sciences,2025,121.31,7,Licence Geopolitique Relations Internationales,122.325
Universite de Tunis,10160,Technique,2023,109.3265,7,Licence Geopolitique Relations Internationales,
Universite de Tunis,10160,Technique,2024,117.465,7,Licence Geopolitique Relations Internationales,109.3265
Universite de Tunis,10160,Technique,2025,169.03,7,Licence Geopolitique Relations Internationales,117.465
Universite de Tunis,10162,Economie,2023,77.1329,5,Licence Conservation Patrimoine,
Universite de Tunis,10162,Economie,2024,79.0802,5,Licence Conservation Patrimoine,77.1329
Universite de Tunis,10162,Economie,2025,73.2935,5,Licence Conservation Patrimoine,79.0802
Universite de Tunis,10162,Informatique,2023,88.5711,5,Licence Conservation Patrimoine,
Universite de Tunis,10162,Lettres,2023,76.3899,5,Licence Conservation Patrimoine,
Universite de Tunis,10162,Lettres,2024,77.3135,5,Licence Conservation Patrimoine,76.3899
Universite de Tunis,10162,Lettres,2025,82.7556,5,Licence Conservation Patrimoine,77.3135
Universite de Tunis,10162,Sciences,2023,85.7249,5,Licence Conservation Patrimoine,
Universite de Tunis,10162,Sciences,2024,120.2144,5,Licence Conservation Patrimoine,85.7249
Universite de Tunis,10162,Sciences,2025,114.5455,5,Licence Conservation Patrimoine,120.2144
Universite de Tunis,10162,Sport,2023,104.7368,5,Licence Conservation Patrimoine,
Universite de Tunis,10162,Technique,2023,192.2844,5,Licence Conservation Patrimoine,
Universite de Tunis,10162,Technique,2025,105.1668,5,Licence Conservation Patrimoine,192.2844
Universite de Tunis,10164,Informatique,2023,78.2282,2,Licence Geomatique,
Universite de Tunis,10164,Informatique,2024,83.9816,2,Licence Geomatique,78.2282
Universite de Tunis,10164,Informatique,2025,98.195,2,Licence Geomatique,83.9816
Universite de Tunis,10164,Mathematiques,2024,104.1999,2,Licence Geomatique,
Universite de Tunis,10164,Mathematiques,2025,81.1899,2,Licence Geomatique,104.1999
Universite de Tunis,10164,Sciences,2023,89.0233,2,Licence Geomatique,
Universite de Tunis,10164,Sciences,2024,90.6852,2,Licence Geomatique,89.0233
Universite de Tunis,10164,Sciences,2025,87.2815,2,Licence Geomatique,90.6852
Universite de Tunis,10164,Technique,2023,72.3251,2,Licence Geomatique,
Universite de Tunis,10164,Technique,2024,75.045,2,Licence Geomatique,72.3251
Universite de Tunis,10164,Technique,2025,74.9282,2,Licence Geomatique,75.045
Universite de Tunis,10167,Economie,2023,90.8363,16,Code_10167,
Universite de Tunis,10167,Economie,2024,82.3218,16,Code_10167,90.8363
Universite de Tunis,10167,Economie,2025,78.6668,16,Code_10167,82.3218
Universite de Tunis,10167,Informatique,2023,104.0361,16,Code_10167,
Universite de Tunis,10167,Informatique,2024,89.0707,16,Code_10167,104.0361
Universite de Tunis,10167,Informatique,2025,91.5332,16,Code_10167,89.0707
Universite de Tunis,10167,Lettres,2023,92.5406,16,Code_10167,
Universite de Tunis,10167,Lettres,2024,80.5408,16,Code_10167,92.5406
Universite de Tunis,10167,Lettres,2025,96.4951,16,Code_10167,80.5408
Universite de Tunis,10167,Sciences,2023,114.2902,16,Code_10167,
Universite de Tunis,10167,Sciences,2024,91.2265,16,Code_10167,114.2902
Universite de Tunis,10167,Sciences,2025,134.1513,16,Code_10167,91.2265
Universite de Tunis,10167,Sport,2023,96.0967,16,Code_10167,
Universite de Tunis,10167,Technique,2024,110.1298,16,Code_10167,
Universite de Tunis,10167,Technique,2025,97.1988,16,Code_10167,110.1298
Universite de Tunis,10168,Informatique,2023,111.905,13,Licence Geomatique Applications,
Universite de Tunis,10168,Informatique,2024,104.4534,13,Licence Geomatique Applications,111.905
Universite de Tunis,10168,Informatique,2025,101.0936,13,Licence Geomatique Applications,104.4534
Universite de Tunis,10168,Mathematiques,2023,119.8169,13,Licence Geomatique Applications,
